"SAMPLE"	"CANOES.CNVs"	"XHMM.CNVs"	"XHMMminusCANOES"
"H_NK-135GELCC128-135128"	13	53	40
"H_NK-52GELCC18-52018"	7	48	41
"H_NK-90GELCC18-90018"	3	45	42
"H_NK-31GELCC01-31001"	7	55	48
"H_NK-135GELCC148-135148"	9	53	44
"H_NK-135GELCC123-135123"	13	56	43
"H_NK-12GELCC06-12006"	233	191	-42
"H_NK-90GELCC20-90020"	4	30	26
"H_NK-47GELCC16-47016"	12	66	54
"H_NK-33GELCC09-33009"	15	47	32
"H_NK-131GELCC128-131128"	12	55	43
"H_NK-52GELCC01-52001"	6	52	46
"H_NK-69GELCC109-69109"	6	48	42
"H_NK-69GELCC102-69102"	10	71	61
"H_NK-34GELCC12-34012"	9	66	57
"H_NK-31GELCC05-31005"	8	67	59
"H_NK-103GELCC130-103130"	16	88	72
"H_NK-131GELCC146-131146"	12	44	32
"H_NK-35GELCC02-35002"	17	53	36
"H_NK-33GELCC23-33023"	11	51	40
"H_NK-33GELCC26-33026"	7	67	60
"H_NK-131GELCC119-131119"	7	44	37
"H_NK-35GELCC32-35032"	6	65	59
"H_NK-12GELCC22-12022"	9	49	40
"H_NK-102GELCC301-102301"	9	45	36
"H_NK-42GELCC01-42001"	11	59	48
"H_NK-33GELCC03-33003"	12	50	38
"H_NK-102GELCC313-102313"	19	57	38
"H_NK-25GELCC03-25003"	4	92	88
"H_NK-69GELCC105-69105"	9	66	57
"H_NK-69GELCC108-69108"	11	53	42
"H_NK-90GELCC57-90057"	11	47	36
"H_NK-52GELCC04-52004"	5	40	35
"H_NK-69GELCC112-69112"	18	66	48
"H_NK-35GELCC01-35001"	15	46	31
"H_NK-34GELCC22-34022"	13	43	30
"H_NK-26GELCC20-26020"	13	66	53
"H_NK-105GELCC172-105172"	11	58	47
"H_NK-52GELCC15-52015"	7	53	46
"H_NK-11GELCC01-11001"	10	62	52
"H_NK-90GELCC31-90031"	19	50	31
"H_NK-103GELCC117-103117"	20	62	42
"H_NK-102GELCC121-102121"	8	61	53
"H_NK-59GELCC070-59070"	14	55	41
"H_NK-88GELCC28-88028"	12	48	36
"H_NK-12GELCC44-12044"	18	65	47
"H_NK-34GELCC21-34021"	9	57	48
"H_NK-131GELCC110-131110"	17	62	45
"H_NK-33GELCC32-33032"	10	56	46
"H_NK-42GELCC14-42014"	815	74	-741
"H_NK-44GELCC02-44002"	13	49	36
"H_NK-34GELCC36-34036"	12	42	30
"H_NK-90GELCC01-90001"	10	38	28
"H_NK-94GELCC01-94001"	7	57	50
"H_NK-103GELCC105-103105"	14	47	33
"H_NK-69GELCC116-69116"	16	36	20
"H_NK-34GELCC08-34008"	15	56	41
"H_NK-103GELCC110-103110"	20	44	24
"H_NK-88GELCC71-88071"	8	58	50
"H_NK-102GELCC112-102112"	12	55	43
"H_NK-59GELCC074-59074"	21	62	41
"H_NK-69GELCC176-69176"	15	56	41
"H_NK-88GELCC127-88127"	17	54	37
"H_NK-131GELCC131-131131"	16	61	45
"H_NK-52GELCC20-52020"	7	42	35
"H_NK-102GELCC137-102137"	7	72	65
"H_NK-26GELCC13-26013"	22	71	49
"H_NK-12GELCC11-12011"	16	58	42
"H_NK-34GELCC29-34029"	13	38	25
"H_NK-12GELCC01-12001"	16	65	49
"H_NK-42GELCC07-42007"	18	65	47
"H_NK-33GELCC04-33004"	7	58	51
"H_NK-25GELCC01-25001"	4	58	54
"H_NK-69GELCC103-69103"	9	55	46
"H_NK-62GELCC013-62013"	15	66	51
"H_NK-25GELCC40-25040"	8	93	85
"H_NK-59GELCC022-59022"	18	61	43
"H_NK-33GELCC82-33082"	10	57	47
"H_NK-88GELCC54-88054"	7	48	41
"H_NK-102GELCC346-102346"	11	75	64
"H_NK-31GELCC07-31007"	16	85	69
"H_NK-88GELCC34-88034"	16	62	46
"H_NK-44GELCC98-44098"	9	52	43
"H_NK-26GELCC07-26007"	14	72	58
"H_NK-102GELCC132-102132"	9	70	61
"H_NK-88GELCC18-88018"	24	66	42
"H_NK-25GELCC29-25029"	9	67	58
"H_NK-25GELCC05-25005"	9	40	31
"H_NK-44GELCC08-44008"	14	64	50
"H_NK-34GELCC15-34015"	15	0	-15
"H_NK-59GELCC026-59026"	7	57	50
"H_NK-102GELCC311-102311"	11	60	49
"H_NK-59GELCC069-59069"	8	56	48
"H_NK-105GELCC118-105118"	9	60	51
"H_NK-44GELCC34-44034"	11	66	55
"H_NK-26GELCC01-26001"	18	67	49
"H_NK-131GELCC127-131127"	13	63	50
"H_NK-NEWGELCC22-1362022"	15	54	39
"H_NK-131GELCC118-131118"	11	41	30
"H_NK-52GELCC38-52038"	13	45	32
"H_NK-NEWGELCC01-1362001"	9	64	55
"H_NK-88GELCC30-88030"	8	71	63
"H_NK-26GELCC21-26021"	15	67	52
"H_NK-127GELCC014-127014"	9	56	47
"H_NK-25GELCC26-25026"	16	58	42
"H_NK-NEWGELCC28-1362028"	17	54	37
"H_NK-44GELCC01-44001"	15	48	33
"H_NK-31GELCC33-31033"	11	63	52
"H_NK-34GELCC03-34003"	12	57	45
"H_NK-35GELCC31-35031"	11	64	53
"H_NK-31GELCC06-31006"	12	60	48
"H_NK-34GELCC30-34030"	12	50	38
"H_NK-88GELCC32-88032"	8	50	42
"H_NK-131GELCC124-131124"	8	54	46
"H_NK-52GELCC10-52010"	8	56	48
"H_NK-NEWGELCC23-1362023"	16	55	39
"H_NK-131GELCC121-131121"	13	58	45
"H_NK-26GELCC22-26022"	12	51	39
"H_NK-88GELCC52-88052"	9	67	58
"H_NK-90GELCC05-90005"	8	51	43
"H_NK-90GELCC90-90090"	16	50	34
"H_NK-52GELCC83-52083"	7	54	47
"H_NK-47GELCC10-47010"	7	51	44
"H_NK-105GELCC121-105121"	23	78	55
"H_NK-135GELCC149-135149"	14	51	37
"H_NK-102GELCC101-102101"	7	60	53
"H_NK-34GELCC32-34032"	18	61	43
"H_NK-127GELCC012-127012"	11	58	47
"H_NK-25GELCC02-25002"	6	47	41
"H_NK-90GELCC14-90014"	2	45	43
"H_NK-44GELCC23-44023"	19	65	46
"H_NK-33GELCC02-33002"	14	53	39
"H_NK-135GELCC101-135101"	6	37	31
"H_NK-131GELCC122-131122"	10	67	57
"H_NK-69GELCC111-69111"	8	33	25
"H_NK-90GELCC55-90055"	11	39	28
"H_NK-131GELCC148-131148"	13	46	33
"H_NK-88GELCC55-88055"	14	52	38
"H_NK-11GELCC02-11002"	14	59	45
"H_NK-88GELCC53-88053"	10	54	44
"H_NK-25GELCC21-25021"	23	62	39
"H_NK-135GELCC122-135122"	8	39	31
"H_NK-12GELCC38-12038"	10	50	40
"H_NK-131GELCC149-131149"	11	56	45
"H_NK-31GELCC29-31029"	15	64	49
"H_NK-12GELCC09-12009"	9	49	40
"H_NK-42GELCC09-42009"	6	58	52
"H_NK-103GELCC118-103118"	12	43	31
"H_NK-88GELCC31-88031"	7	50	43
"H_NK-42GELCC91-42091"	16	106	90
"H_NK-44GELCC33-44033"	9	44	35
"H_NK-42GELCC41-42041"	17	46	29
"H_NK-26GELCC05-26005"	11	64	53
"H_NK-35GELCC29-35029"	9	56	47
"H_NK-52GELCC16-52016"	11	61	50
"H_NK-25GELCC04-25004"	11	51	40
"H_NK-69GELCC104-69104"	12	55	43
"H_NK-90GELCC22-90022"	5	47	42
"H_NK-47GELCC09-47009"	11	67	56
"H_NK-52GELCC41-52041"	13	55	42
"H_NK-33GELCC18-33018"	9	39	30
"H_NK-62GELCC012-62012"	13	56	43
"H_NK-33GELCC10-33010"	17	62	45
"H_NK-69GELCC114-69114"	14	43	29
"H_NK-47GELCC07-47007"	11	47	36
"H_NK-42GELCC30-42030"	8	53	45
"H_NK-105GELCC167-105167"	17	50	33
"H_NK-12GELCC29-12029"	6014	68	-5946
"H_NK-31GELCC03-31003"	8	51	43
"H_NK-88GELCC13-88013"	9	72	63
"H_NK-12GELCC37-12037"	15	60	45
"H_NK-103GELCC158-103158"	13	58	45
"H_NK-94GELCC14-94014"	13	57	44
"H_NK-52GELCC13-52013"	20	66	46
"H_NK-105GELCC122-105122"	9	60	51
"H_NK-90GELCC26-90026"	12	53	41
"H_NK-52GELCC14-52014"	17	57	40
"H_NK-102GELCC124-102124"	5	42	37
"H_NK-127GELCC001-127001"	9	52	43
"H_NK-102GELCC136-102136"	11	63	52
"H_NK-88GELCC56-88056"	9	32	23
"H_NK-69GELCC106-69106"	8	50	42
"H_NK-25GELCC36-25036"	11	60	49
"H_NK-69GELCC101-69101"	13	59	46
"H_NK-102GELCC180-102180"	10	64	54
"H_NK-131GELCC123-131123"	16	63	47
"H_NK-105GELCC112-105112"	8	50	42
"H_NK-103GELCC109-103109"	16	67	51
"H_NK-44GELCC09-44009"	4	59	55
"H_NK-11GELCC42-11042"	16	91	75
"H_NK-NEWGELCC02-1362002"	9	53	44
"H_NK-62GELCC001-62001"	12	54	42
"H_NK-33GELCC39-33039"	11	58	47
"H_NK-33GELCC17-33017"	17	43	26
"H_NK-34GELCC14-34014"	12	51	39
"H_NK-59GELCC001-59001"	11	61	50
"H_NK-94GELCC36-94036"	12	49	37
"H_NK-88GELCC29-88029"	7	51	44
"H_NK-26GELCC02-26002"	18	76	58
"H_NK-47GELCC01-47001"	14	58	44
"H_NK-131GELCC125-131125"	8	74	66
"H_NK-69GELCC174-69174"	15	37	22
"H_NK-135GELCC126-135126"	13	43	30
